匯景道,Sceneway Road,藍田,Lam Tin
匯民道,Wui Man Road,油麻地,Yau Ma Tei
匯翔道,Wui Cheung Road,尖沙咀,Tsim Sha Tsui
十八鄉路,Shap Pat Heung Road,元朗,Yuen Long
十間,Stewart Terrace,山頂,The Peak
半山街,Pun Shan Street,荃灣,Tsuen Wan
半山路,Middle Hill Road,長洲,Cheung Chau
半春園路,Pun Chun Yuen Road,大埔,Tai Po
卑利士道,Breezy Path,半山區,Mid-levels
卑利街,Peel Street,中環、半山區,"Central, Mid-levels"
卑路乍街,Belcher's Street,堅尼地城、石塘咀、薄扶林,"Kennedy Town, Shek Tong Tsui, Pok Fu Lam"
卓運街,Cheuk Wan Street,上水,Sheung Shui
協和街,Hip Wo Street,觀塘,Kwun Tong
協和里,Hip Wo Lane,跑馬地,Happy Valley
協欣街,Hip Yan Street,沙田,Sha Tin
協調道,Concorde Road,九龍灣,Kowloon Bay
南丁格爾路,Nightingale Road,油麻地,Yau Ma Tei
南京街,Nanking Street,油麻地,Yau Ma Tei
南圍路,Nam Wai Road,西貢,Sai Kung
南坑村路,Nam Hang Tsuen Road,大棠,Tai Tong
南安街,Nam On Street,筲箕灣,Shau Kei Wan
南安里,Nam On Lane,筲箕灣,Shau Kei Wan
南寧街,Nam Ning Street,香港仔,Aberdeen
南山新村路,Nam Shan San Tsuen Road,西貢,Sai Kung
南山路,Nam Shan Road,坪洲,Peng Chau
南山邨道,Nam Shan Chuen Road,石硤尾,Shek Kip Mei
南山里,Nam Shan Lane,西貢,Sai Kung
南康街,Nam Hong Street,筲箕灣,Shau Kei Wan
南慶東路,Nam Hing East Road,八鄉、石崗,"Pat Heung, Shek Kong"
南慶西路,Nam Hing West Road,石崗、八鄉,"Shek Kong, Pat Heung"
南昌街,Nam Cheong Street,深水埗、石硤尾,"Sham Shui Po, Shek Kip Mei"
南朗山道,Nam Long Shan Road,黃竹坑,Wong Chuk Hang
南氹灣路,Nam Tam Wan Road,長洲,Cheung Chau
南灣坊,South Bay Close,淺水灣,Repulse Bay
南灣徑,South Bay Path,淺水灣,Repulse Bay
南灣道,South Bay Road,淺水灣,Repulse Bay
南灣道,South Bay Road,沙頭角,Sha Tau Kok
南環路,South Perimeter Road,赤鱲角,Chek Lap Kok
南生圍路,Nam Sang Wai Road,元朗,Yuen Long
南盛街,Nam Shing Street,大埔,Tai Po
南角道,Nam Kok Road,九龍城,Kowloon City
南運路,Nam Wan Road,大埔,Tai Po
南邊圍路,Nam Pin Wai Road,西貢,Sai Kung
南里,South Lane,石塘咀,Shek Tong Tsui
南頭街,Nam Tau Street,旺角,Mong Kok
南風徑,Nam Fung Path,黃竹坑,Wong Chuk Hang
南風道,Nam Fung Road,黃竹坑、深水灣,"Wong Chuk Hang, Deep Water Bay"
博學里,Pok Hok Lane,大角咀,Tai Kok Tsui
博文街,Pok Man Street,大角咀,Tai Kok Tsui
博泉徑,Pok Chuen Path,沙田,Sha Tin
博泉街,Pok Chuen Street,沙田,Sha Tin
博研路,Pok Yin Road,大埔滘,Tai Po Kau
博覽道,Expo Drive,灣仔,Wan Chai
博覽道中,Expo Drive Central,灣仔、金鐘,"Wan Chai, Admiralty"
博覽道東,Expo Drive East,灣仔,Wan Chai
卡米爾徑,Carmel Avenue,元朗,Yuen Long
卡連拿徑,Catalina Avenue,元朗,Yuen Long
厚和街,Hau Wo Street,堅尼地城,Kennedy Town
厚德里,Hau Tak Lane,灣仔,Wan Chai
厚福街,Hau Fook Street,尖沙咀,Tsim Sha Tsui
厚誠街,Houston Street,銅鑼灣,Causeway Bay
厚豐里,Hau Fung Lane,灣仔,Wan Chai
又一居道,Parc Oasis Road,又一村,Yau Yat Chuen
又新街,Yau San Street,元朗,Yuen Long
友光街,Yau Kwong Street,坪洲,Peng Chau
友全街,Yau Chuen Street,元朗,Yuen Long
友善街,Yau Shin Street,元朗,Yuen Long
友愛路,Yau Oi Road,屯門,Tuen Mun
友榮街,Yau Wing Street,坪洲,Peng Chau
友翔道,Yau Cheung Road,油麻地,Yau Ma Tei
古坑道,Kwu Hang Road,荃灣,Tsuen Wan
古屋里,Kwu Uk Lane,荃灣,Tsuen Wan
古洞南路,Kwu Tung South Road,上水,Sheung Shui
古洞路,Kwu Tung Road,新田、古洞,"San Tin, Kwu Tung"
史樂信路,Shropshire Road,八鄉,Pat Heung
史釗域道,Stewart Road,灣仔,Wan Chai
司徒拔道,Stubbs Road,半山區、灣仔,"Mid-levels, Wan Chai"
合一道,Hop Yat Road,土瓜灣,To Kwa Wan
合桃街,Walnut Street,大角咀,Tai Kok Tsui
合益路,Hop Yick Road,元朗,Yuen Long
合群街,Hop Kwan Street,大角咀,Tai Kok Tsui
合財街,Hop Choi Street,元朗,Yuen Long
吉利徑,Glee Path,荔枝角,Lai Chi Kok
吉勝街,Kut Shing Street,柴灣,Chai Wan
吉圍徑,Kat Wai Path,吉澳,Crooked Island
吉士笠街,Gutzlaff Street,中環,Central
吉安街,Kat On Street,灣仔,Wan Chai
吉席街,Catchick Street,堅尼地城,Kennedy Town
吉慶後街,Kat Hing Back Street,大澳,Tai O
吉慶街,Kat Hing Street,大澳,Tai O
吉澳大街,Kat O Main Street,吉澳,Crooked Island
吉祥街,Kat Cheung Crescent,上水,Sheung Shui
同仁街,Tung Yan Street,觀塘,Kwun Tong
同和街,Tung Wo Street,荃灣、葵涌,"Tsuen Wan, Kwai Chung"
同德里,Tung Tak Lane,中環,Central
同文街,Tung Man Street,中環,Central
同樂徑,The Governor's Walk,半山區,Mid-levels
同樂街,Tung Lok Street,元朗,Yuen Long
同發坊,Tung Fat Square,大埔,Tai Po
同福路,Tung Fuk Road,洪水橋,Hung Shui Kiu
同秀坊,Tung Sau Square,大埔,Tai Po
同茂坊,Tung Mau Square,大埔,Tai Po
名成街,Ming Shing Street,將軍澳,Tseung Kwan O
吐露港公路,Tolo Highway,沙田,Sha Tin
吳松街,Woosung Street,油麻地、尖沙咀,"Yau Ma Tei, Tsim Sha Tsui"
呈祥道,Ching Cheung Road,荔枝角、長沙灣,"Lai Chi Kok, Cheung Sha Wan"
告士打道,Gloucester Road,灣仔、銅鑼灣,"Wan Chai, Causeway Bay"
和合街,Woo Hop Street,石塘咀,Shek Tong Tsui
和域道,Warwick Road,九龍塘,Kowloon Tong
和安里,Wo On Lane,中環,Central
和宜合道,Wo Yi Hop Road,葵涌,Kwai Chung
和宜合里,Wo Yi Hop Lane,荃灣,Tsuen Wan
和家樓路,Wo Ka Lau Road,粉嶺,Fanling
和富道,Wharf Road,北角,North Point
和平徑,Wo Ping Path,屯門,Tuen Mun
和平新村里,Wo Ping San Tsuen Lane,洪水橋,Hung Shui Kiu
和康徑,Wo Hong Path,觀塘,Kwun Tong
和泰街,Wo Tai Street,粉嶺,Fanling
和滿街,Wo Mun Street,粉嶺,Fanling
和睦路,Wo Muk Road,粉嶺,Fanling
和福道,Watford Road,山頂,The Peak
和興路,Wo Hing Road,粉嶺,Fanling
和衷街,Wo Chung Street,紅磡,Hung Hom
和豐街,Wo Fung Street,粉嶺,Fanling
和隆街,Wo Lung Street,粉嶺,Fanling
和順里,Wo Shun Lane,長洲,Cheung Chau
和風街,Wo Fung Street,上環、西營盤,"Sheung Wan, Sai Ying Pun"
和鳴里,Wo Ming Lane,粉嶺,Fanling
咸美頓街,Hamilton Street,油麻地,Yau Ma Tei
品蘭街,Pentland Street,九龍塘,Kowloon Tong
唐人新村西路,Tong Yan San Tsuen West Road,屏山,Ping Shan
唐人新村路,Tong Yan San Tsuen Road,元朗,Yuen Long
唐俊街,Tong Chun Street,將軍澳,Tseung Kwan O
唐德街,Tong Tak Street,將軍澳,Tseung Kwan O
唐明街,Tong Ming Street,將軍澳,Tseung Kwan O
唐泰路,Tong Tai Road,元朗,Yuen Long
唐賢街,Tong Yin Street,將軍澳,Tseung Kwan O
唐賢里,Tong Yin Lane,將軍澳,Tseung Kwan O
啟仁街,Kai Yan Street,九龍灣,Kowloon Bay
啟信道,Kai Shun Road,牛池灣、牛頭角,"Ngau Chi Wan, Ngau Tau Kok"
啟和路,Kai Wo Road,大埔,Tai Po
啟康街,Kai Hong Close,荃灣,Tsuen Wan
啟德橋,Kai Tak Bridge,九龍灣,Kowloon Bay
啟德道,Kai Tak Road,九龍城,Kowloon City
啟德隧道,Kai Tak Tunnel,九龍城,Kowloon City
